Timestamp,Source_IP,Dest_IP,Source_Port,Dest_Port,Protocol,Packet_Size,Connection_Duration,Packets_Sent,Bytes_Transferred,Flow_Rate,Device_Role,Function_Code,Attack_Type,Attack_Phase,Label
27-04-2026 8.03,10.0.1.26,10.0.1.21,34745,20000,DNP3,117,0.465,6,702,1510.48,Engineering_Workstation,16,Normal,none,Normal
27-04-2026 8.03,10.0.1.17,10.0.1.11,29767,47808,BACnet,54,0.248,8,432,1742.73,HMI,0,Normal,none,Normal
27-04-2026 8.03,198.109.200.84,10.0.1.22,34269,20000,DNP3,284,0.266,5,1420,5343.37,External,6,False_Data_Injection,recon,Malicious
27-04-2026 8.04,198.109.200.84,10.0.1.13,62699,502,Modbus_TCP,104,0.246,5,520,2111.3,External,6,False_Data_Injection,recon,Malicious
27-04-2026 8.04,198.109.200.84,10.0.1.15,59586,502,Modbus_TCP,213,0.137,2,426,3109.7,External,16,False_Data_Injection,escalation,Malicious
27-04-2026 8.04,198.109.200.84,10.0.1.12,26610,20000,DNP3,207,0.037,3,621,16761.64,External,6,False_Data_Injection,escalation,Malicious
27-04-2026 8.04,198.109.200.84,10.0.1.16,2224,502,Modbus_TCP,103,0.143,4,412,2880.95,External,16,False_Data_Injection,escalation,Malicious
27-04-2026 8.04,198.109.200.84,10.0.1.19,20954,502,Modbus_TCP,201,0.207,2,402,1943.06,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.04,198.109.200.84,10.0.1.14,18863,20000,DNP3,271,0.1,1,271,2715.87,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.04,198.109.200.84,10.0.1.24,51327,20000,DNP3,84,0.046,5,420,9131.13,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.04,198.109.200.84,10.0.1.11,7563,20000,DNP3,112,0.214,1,112,524.24,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.04,198.109.200.84,10.0.1.26,8693,20000,DNP3,104,0.231,3,312,1353.39,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.04,198.109.200.84,10.0.1.20,24968,20000,DNP3,235,0.023,4,940,41504.54,External,16,False_Data_Injection,cooldown,Malicious
27-04-2026 8.04,198.109.200.84,10.0.1.22,3422,502,Modbus_TCP,172,0.279,3,516,1849.39,External,16,False_Data_Injection,cooldown,Malicious
